DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEMAND_[MW],AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW],BELGIUM_DEMAND_[MW],BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW],DENMARK_DEMAND_[MW],DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DENMARK_DEFICIT(-)_SURPLUS(+)_[MW],FRANCE_DEMAND_[MW],FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FRANCE_DEFICIT(-)_SURPLUS(+)_[MW],GERMANY_DEMAND_[MW],GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],GERMANY_DEFICIT(-)_SURPLUS(+)_[MW],NETHERLANDS_DEMAND_[MW],NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW],SLOVENIA_DEMAND_[MW],SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW],SWITZERLAND_DEMAND_[MW],SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW],CZECH_REPUBLIC_DEMAND_[MW],CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW],CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW],measurement_name,date_valid
2024-02-14,2024-02-14,FCR,1,NEGPOS_00_04,30.0,72,30.0,5,93,100,-65,25,30.0,-22,486,3.88,144,564,30.0,73,110,30.0,-67,14,30.0,-14,62,30.0,-22,77,30.0,-32,capacity_fcr_results,2024-02-14T00:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_00_04,30.0,72,30.0,5,93,100,-65,25,30.0,-22,486,3.88,144,564,30.0,73,110,30.0,-67,14,30.0,-14,62,30.0,-22,77,30.0,-32,capacity_fcr_results,2024-02-14T01:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_00_04,30.0,72,30.0,5,93,100,-65,25,30.0,-22,486,3.88,144,564,30.0,73,110,30.0,-67,14,30.0,-14,62,30.0,-22,77,30.0,-32,capacity_fcr_results,2024-02-14T02:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_00_04,30.0,72,30.0,5,93,100,-65,25,30.0,-22,486,3.88,144,564,30.0,73,110,30.0,-67,14,30.0,-14,62,30.0,-22,77,30.0,-32,capacity_fcr_results,2024-02-14T03:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_04_08,30.89,72,30.89,4,93,100,-65,25,30.89,-22,486,6.04,145,564,30.89,76,110,30.89,-67,14,30.89,-14,62,30.89,-23,77,30.89,-34,capacity_fcr_results,2024-02-14T04:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_04_08,30.89,72,30.89,4,93,100,-65,25,30.89,-22,486,6.04,145,564,30.89,76,110,30.89,-67,14,30.89,-14,62,30.89,-23,77,30.89,-34,capacity_fcr_results,2024-02-14T05:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_04_08,30.89,72,30.89,4,93,100,-65,25,30.89,-22,486,6.04,145,564,30.89,76,110,30.89,-67,14,30.89,-14,62,30.89,-23,77,30.89,-34,capacity_fcr_results,2024-02-14T06:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_04_08,30.89,72,30.89,4,93,100,-65,25,30.89,-22,486,6.04,145,564,30.89,76,110,30.89,-67,14,30.89,-14,62,30.89,-23,77,30.89,-34,capacity_fcr_results,2024-02-14T07:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_08_12,26.56,72,26.56,16,93,100,-65,25,26.56,-23,486,3.0,145,564,26.56,66,110,26.56,-67,14,26.56,-14,62,26.56,-24,77,26.56,-34,capacity_fcr_results,2024-02-14T08:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_08_12,26.56,72,26.56,16,93,100,-65,25,26.56,-23,486,3.0,145,564,26.56,66,110,26.56,-67,14,26.56,-14,62,26.56,-24,77,26.56,-34,capacity_fcr_results,2024-02-14T09:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_08_12,26.56,72,26.56,16,93,100,-65,25,26.56,-23,486,3.0,145,564,26.56,66,110,26.56,-67,14,26.56,-14,62,26.56,-24,77,26.56,-34,capacity_fcr_results,2024-02-14T10:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_08_12,26.56,72,26.56,16,93,100,-65,25,26.56,-23,486,3.0,145,564,26.56,66,110,26.56,-67,14,26.56,-14,62,26.56,-24,77,26.56,-34,capacity_fcr_results,2024-02-14T11:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_12_16,21.7,72,21.7,10,93,100,-65,25,21.7,-23,486,3.6,145,564,21.7,87,110,21.7,-67,14,21.7,-14,62,21.7,-41,77,21.7,-32,capacity_fcr_results,2024-02-14T12:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_12_16,21.7,72,21.7,10,93,100,-65,25,21.7,-23,486,3.6,145,564,21.7,87,110,21.7,-67,14,21.7,-14,62,21.7,-41,77,21.7,-32,capacity_fcr_results,2024-02-14T13:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_12_16,21.7,72,21.7,10,93,100,-65,25,21.7,-23,486,3.6,145,564,21.7,87,110,21.7,-67,14,21.7,-14,62,21.7,-41,77,21.7,-32,capacity_fcr_results,2024-02-14T14:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_12_16,21.7,72,21.7,10,93,100,-65,25,21.7,-23,486,3.6,145,564,21.7,87,110,21.7,-67,14,21.7,-14,62,21.7,-41,77,21.7,-32,capacity_fcr_results,2024-02-14T15:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_16_20,29.27,72,29.27,28,93,100,-65,25,29.27,-24,486,3.08,145,564,29.27,24,110,29.27,-67,14,29.27,-14,62,29.27,5,77,29.27,-32,capacity_fcr_results,2024-02-14T16:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_16_20,29.27,72,29.27,28,93,100,-65,25,29.27,-24,486,3.08,145,564,29.27,24,110,29.27,-67,14,29.27,-14,62,29.27,5,77,29.27,-32,capacity_fcr_results,2024-02-14T17:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_16_20,29.27,72,29.27,28,93,100,-65,25,29.27,-24,486,3.08,145,564,29.27,24,110,29.27,-67,14,29.27,-14,62,29.27,5,77,29.27,-32,capacity_fcr_results,2024-02-14T18:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_16_20,29.27,72,29.27,28,93,100,-65,25,29.27,-24,486,3.08,145,564,29.27,24,110,29.27,-67,14,29.27,-14,62,29.27,5,77,29.27,-32,capacity_fcr_results,2024-02-14T19:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_20_24,19.1,72,19.1,4,93,100,-65,25,19.1,-24,486,3.06,145,564,19.1,79,110,19.1,-67,14,19.1,-14,62,19.1,-26,77,19.1,-32,capacity_fcr_results,2024-02-14T20:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_20_24,19.1,72,19.1,4,93,100,-65,25,19.1,-24,486,3.06,145,564,19.1,79,110,19.1,-67,14,19.1,-14,62,19.1,-26,77,19.1,-32,capacity_fcr_results,2024-02-14T21:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_20_24,19.1,72,19.1,4,93,100,-65,25,19.1,-24,486,3.06,145,564,19.1,79,110,19.1,-67,14,19.1,-14,62,19.1,-26,77,19.1,-32,capacity_fcr_results,2024-02-14T22:00:00
2024-02-14,2024-02-14,FCR,1,NEGPOS_20_24,19.1,72,19.1,4,93,100,-65,25,19.1,-24,486,3.06,145,564,19.1,79,110,19.1,-67,14,19.1,-14,62,19.1,-26,77,19.1,-32,capacity_fcr_results,2024-02-14T23:00:00
